City,State,Name,Price,Rating,Reviews,Lat,Lng,Price(Scale)
New York,New York,Angel's Share,$$,4.5,1953,40.72970975,-73.98914922,2
New York,New York,Raines Law Room,$$$,4.5,1323,40.73869,-73.99462,3
New York,New York,Please Don't Tell,$$$,4,1628,40.727098,-73.983763,3
New York,New York,Patent Pending,$$$,4,102,40.74526,-73.99032,3
New York,New York,Attaboy,$$$,4,457,40.7188874,-73.9913351,3
New York,New York,The 18th Room,$$$,4.5,23,40.74364,-74.00318,3
New York,New York,Apothèke,$$$,4,1349,40.71439,-73.99815,3
New York,New York,Bathtub Gin,$$$,3.5,857,40.74367236,-74.00333762,3
New York,New York,The Hidden Pearl,$$,4.5,20,40.72355,-73.95092,2
New York,New York,Nitecap,$$,4,274,40.719125,-73.985732,2
New York,New York,Death & Co,$$$,4,1387,40.72589,-73.9847,3
New York,New York,Little Branch,$$$,4,1001,40.73013,-74.005058,3
New York,New York,Dear Irving,$$$,4.5,563,40.7360569,-73.9872401,3
New York,New York,The Back Room,$$,3.5,800,40.71873,-73.98691,2
New York,New York,The Up & Up,$$,4,350,40.72951044,-74.00066934,2
New York,New York,Employees Only,$$$,4,1354,40.73343,-74.00607,3
New York,New York,Raines Law Room at the William,$$,4,292,40.75058,-73.98018,2
New York,New York,Le Boudoir,$$,4,49,40.6906942,-73.9955284,2
New York,New York,Garfunkel's,$$,4.5,158,40.71941,-73.98501,2
New York,New York,The 75 Club,$$,4.5,24,40.71483,-74.01054,2
New York,New York,The Last Word,$$,4,180,40.7755735,-73.9101652,2
New York,New York,The Ship,$$,4,265,40.7198443,-73.99947,2
New York,New York,Straylight,$$,4.5,18,40.71461,-73.99939,2
New York,New York,The Dead Rabbit,$$,4,1293,40.70329,-74.01102,2
New York,New York,Manhattan Cricket Club,$$$,4,91,40.7833619,-73.979579,3
New York,New York,Featherweight,$$,4.5,124,40.7063167,-73.9432119,2
New York,New York,Sugar East,$$,4,61,40.7614,-73.9609,2
New York,New York,Fig. 19,$$,4,206,40.7195117,-73.9935397,2
New York,New York,House Of Wax,$$,4,63,40.6912509,-73.9832589,2
New York,New York,The Notorious NY - Soho, ,4,5,40.7213492,-73.9977246,1
New York,New York,Holy Ground, ,4.5,28,40.71601,-74.00859,1
New York,New York,The Auction House,$$,3.5,396,40.77962191,-73.95014797,2
New York,New York,Lovers of Today,$$,4,229,40.72583389,-73.98337555,2
New York,New York,Basement, ,5,9,40.71526,-73.99883,1
New York,New York,Tanner Smiths,$$,4,1281,40.76442,-73.98169,2
New York,New York,Mezcaleria La Milagrosa,$$,4,17,40.71172,-73.95734,2
New York,New York,The George Washington Bar, ,4.5,7,40.7396337,-73.98458773,1
New York,New York,Slowly Shirley,$$,3.5,86,40.73474009,-73.99958517,2
New York,New York,The Tippler,$$,4,603,40.74235409,-74.00633987,2
New York,New York,Barely Disfigured,$$$,4.5,35,40.68309,-73.9928,3
New York,New York,Middle Branch,$$,4,346,40.74528885,-73.97946167,2
New York,New York,The Garret,$$,3.5,202,40.73238,-74.0038457,2
New York,New York,Alley Cat Amateur Theatre, ,4,21,40.71127676,-74.00694563,1
New York,New York,2nd Floor Bar & Essen,$$$,4.5,31,40.76954,-73.95436,3
New York,New York,Dutch Kills,$$,4,696,40.747615,-73.940159,2
New York,New York,Blue Quarter, ,4.5,14,40.72697,-73.98863,1
New York,New York,Banzarbar,$$$,5,15,40.72196225,-73.99246696,3
